127.0.0.1 - - [26/Oct/2021:16:52:37 +0100] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET / HTTP/1.1" 200 11354
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /tomcat.css HTTP/1.1" 200 5895
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /tomcat.svg HTTP/1.1" 200 68761
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [26/Oct/2021:16:52:42 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [26/Oct/2021:16:55:23 +0100] "GET /manager HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:16:55:24 +0100] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:16:55:24 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:05:02 +0100] "GET / HTTP/1.1" 200 11354
127.0.0.1 - - [26/Oct/2021:17:05:06 +0100] "GET /manager HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:05:06 +0100] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:05:06 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:05:14 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:06:12 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:06:14 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:06:20 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:09:38 +0100] "GET /manager HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:09:38 +0100] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:09:38 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:09:46 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:11:36 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - - [26/Oct/2021:17:13:51 +0100] "GET /manager HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:13:52 +0100] "GET /manager/ HTTP/1.1" 302 -
127.0.0.1 - - [26/Oct/2021:17:13:52 +0100] "GET /manager/html HTTP/1.1" 401 2562
127.0.0.1 - admin [26/Oct/2021:17:13:55 +0100] "GET /manager/html HTTP/1.1" 200 17772
127.0.0.1 - - [26/Oct/2021:17:13:55 +0100] "GET /manager/css/manager.css HTTP/1.1" 200 2946
127.0.0.1 - - [26/Oct/2021:17:13:55 +0100] "GET /manager/images/tomcat.svg HTTP/1.1" 200 68761
127.0.0.1 - - [26/Oct/2021:17:13:55 +0100] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
